title,score,type,source,members,favorites,rating,genres_score,themes_score,studios_score,demographics_score,producers_score
Fullmetal Alchemist: Brotherhood,9.13,tv,manga,2932347,204645,r,6.809451524682952,6.89161354581673,7.32328671328671,7.07873015873016,7.202586711652273
Hunter x Hunter (2011),9.04,tv,manga,2418883,185178,pg_13,6.7571336568422264,6.54,6.98389728096677,7.07873015873016,7.296421538618507
Shingeki no Kyojin Season 3 Part 2,9.07,tv,manga,1881734,51931,r,6.8684769638531105,7.04927697904036,7.38183333333333,7.07873015873016,7.358250789027385
Steins;Gate,9.08,tv,visual_novel,2269121,173088,pg_13,6.895075789799173,7.001775420865529,7.23772727272727,6.54,7.115784220144921
Koe no Katachi,8.95,movie,manga,2001335,77431,pg_13,6.96640512820513,7.603125,7.30837398373984,7.07873015873016,7.246166299369926
Kimi no Na wa.,8.86,movie,original,2392235,82509,pg_13,6.93091449502878,7.603125,6.722,6.54,7.252802248898157
Code Geass: Hangyaku no Lelouch R2,8.91,tv,original,1587851,71331,r,6.802658250152963,6.787800341008596,6.97081683168317,6.54,7.151974241360218
Shingeki no Kyojin: The Final Season,8.83,tv,manga,1629273,50125,r,6.8684769638531105,7.04927697904036,7.13375,7.07873015873016,7.358250789027385
Sen to Chihiro no Kamikakushi,8.78,movie,original,1633281,28806,pg,6.94345520314175,6.80876126126126,6.86823529411765,6.54,7.05611570247934
Code Geass: Hangyaku no Lelouch,8.7,tv,original,2013999,100106,r,6.802658250152963,6.817224744160267,6.97081683168317,6.54,7.125104971248457
Death Note,8.62,tv,manga,3455435,157433,r,6.971612640146075,6.91364985163205,6.98389728096677,7.07873015873016,7.072904871223052
Jujutsu Kaisen (TV),8.68,tv,manga,1922291,72025,r,6.74022961147693,6.90549795361528,7.13375,7.07873015873016,7.547867142062892
Shigatsu wa Kimi no Uso,8.66,tv,manga,1962353,79870,pg_13,6.92029211634137,6.50474379546049,7.15838095238095,7.07873015873016,7.383658328522736
Shingeki no Kyojin Season 3,8.62,tv,manga,2000440,18702,r,6.8684769638531105,7.04927697904036,7.38183333333333,7.07873015873016,7.358250789027385
Cowboy Bebop,8.76,tv,original,1638455,72711,r,6.7207848111268795,7.05221438221697,6.97081683168317,6.54,7.03494475138122
Shingeki no Kyojin,8.53,tv,manga,3473484,153790,r,6.8684769638531105,7.04927697904036,7.38183333333333,7.07873015873016,7.488120918897514
Kimetsu no Yaiba,8.54,tv,manga,2492758,81816,r,6.74022961147693,6.83417227456258,7.27539682539683,7.07873015873016,7.389236810541705
Mob Psycho 100 II,8.81,tv,web_manga,1261348,29183,pg_13,6.777396859676354,6.81006637168142,7.32328671328671,6.54,7.14040013445473
One Punch Man,8.51,tv,web_manga,2837020,58638,r,6.718383358588315,6.647741519174045,6.98389728096677,6.98755434782609,7.185757274902764
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79,tv,manga,1052000,14624,pg_13,6.83221476510067,7.002479515729795,7.05663157894737,7.07873015873016,7.319341003785453
Violet Evergarden,8.67,tv,light_novel,1531763,52431,pg_13,6.815642759167453,6.54,7.30837398373984,6.54,7.081786512787155
Shingeki no Kyojin Season 2,8.5,tv,manga,2355879,19967,r,6.8684769638531105,7.04927697904036,7.38183333333333,7.07873015873016,7.358250789027385
Clannad: After Story,8.94,tv,visual_novel,1090226,66806,pg_13,6.91200269817839,6.54,7.30837398373984,6.54,7.16712047554142
Yakusoku no Neverland,8.54,tv,manga,1716058,31342,r,6.92807762307057,7.059324925816025,7.13069767441861,7.07873015873016,7.346777613719818
