title,score,type,status,start_date,end_date,members,favorites,sfw,genres_score,themes_score,demographics_score,serializations_score
Fullmetal Alchemist,9.05,manga,finished,2001-07-12,2010-09-11,264571,28519,TRUE,7.217716578062848,7.24032051282051,7.02829368334701,7.11204819277108
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.27,manga,finished,2004-01-19,2011-04-19,209123,35456,TRUE,7.0251272324234115,7.16427514792899,6.9769597263678005,7.04384615384615
Oyasumi Punpun,9.03,manga,finished,2007-03-15,2013-11-02,354176,43168,TRUE,7.103990983338125,7.10944881889764,6.92562576938859,7.11238095238095
Koe no Katachi,8.86,manga,finished,2013-08-07,2014-11-19,244653,21260,TRUE,7.446650357474731,7.15818181818182,7.02829368334701,7.25005747126437
Monster,9.1,manga,finished,1994-12-05,2001-12-20,192584,16817,TRUE,7.3412934201346705,7.3439024916406,6.92562576938859,7.25
Solo Leveling,8.72,manhwa,finished,2018-03-04,2021-12-29,368469,35850,TRUE,7.065094058454926,6.93,6.93,7.1295652173913
Death Note,8.7,manga,finished,2003-12-01,2006-05-15,355465,30081,TRUE,7.07808966131907,7.10944881889764,7.02829368334701,6.91140992167102
Haikyuu!!,8.84,manga,finished,2012-02-20,2020-07-20,187357,16347,TRUE,7.41849794238683,7.083661088846705,7.02829368334701,6.91140992167102
20th Century Boys,8.94,manga,finished,1999-09-27,2006-04-24,194538,15619,TRUE,7.258365138093703,7.136861983413315,6.92562576938859,7.11238095238095
Slam Dunk,9.06,manga,finished,1990-09-18,1996-06-04,134233,12981,TRUE,7.41849794238683,7.083661088846705,7.02829368334701,6.91140992167102
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.8,manga,finished,2016-08-10,2017-10-25,126951,11061,TRUE,7.11037890424987,6.93,7.02829368334701,7.02809523809524
Shingeki no Kyojin,8.57,manga,finished,2009-09-09,2021-04-09,590241,66931,TRUE,7.309404558110167,7.2841044221479,7.02829368334701,7.01647058823529
GTO,8.89,manga,finished,1996-12-11,2002-01-30,143407,10164,TRUE,7.118749405117444,7.311945776402854,7.02829368334701,7.25005747126437
ReLIFE,8.66,manga,finished,2013-10-12,2018-03-16,145655,11477,TRUE,7.049568799903023,6.99883732920856,6.93,7.495
Tokyo Ghoul,8.52,manga,finished,2011-09-08,2014-09-18,435782,40325,TRUE,6.966324766855223,7.221970786260415,6.92562576938859,6.98233082706767
Pandora Hearts,8.58,manga,finished,2006-05-18,2015-03-18,154343,15620,TRUE,7.0773947661171475,6.93,7.02829368334701,7.3489230769230804
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.58,manga,finished,1992-04-21,1995-11-21,89324,6188,TRUE,7.02677163120567,6.93,7.02829368334701,6.91140992167102
Dorohedoro,8.68,manga,finished,2000-11-30,2018-09-12,137617,10512,TRUE,6.971163858768405,7.33449275362319,6.92562576938859,7.17823529411765
Fruits Basket,8.52,manga,finished,1998-07-18,2006-11-20,132259,13900,TRUE,7.18044485018312,7.243720990185675,7.01893118148599,7.25844720496894
Horimiya,8.45,manga,finished,2011-10-18,2021-03-18,301756,23803,TRUE,7.00461209842789,6.99883732920856,7.02829368334701,7.3489230769230804
Bastard,8.54,manhwa,finished,2014-07-04,2016-05-06,109934,6029,TRUE,7.017043321964585,7.221970786260415,6.93,7.4291
Watashitachi no Shiawase na Jikan,8.56,manga,finished,2008-03-28,2008-08-22,105664,4766,TRUE,7.070864688368046,7.16100440944882,6.92562576938859,7.14958333333333
Akira,8.69,manga,finished,1982-12-06,1990-06-11,111721,5880,TRUE,7.27580502068381,7.33449275362319,6.92562576938859,7.01152173913044
Yagate Kimi ni Naru,8.67,manga,finished,2015-04-27,2019-09-27,84417,8126,TRUE,6.932561611215846,6.99883732920856,6.93,6.92595419847328
Rurouni Kenshin: Meiji Kenkaku Romantan,8.57,manga,finished,1994-04-12,1999-09-21,88343,6844,TRUE,7.072645931815455,7.18742742903696,7.02829368334701,6.91140992167102
Ouran Koukou Host Club,8.51,manga,finished,2002-07-24,2010-09-24,117913,7721,TRUE,7.033557379061904,7.019261851306354,7.01893118148599,7.19299145299145
Mob Psycho 100,8.6,manga,finished,2012-04-18,2017-12-22,98017,5014,TRUE,7.20553655190472,7.01019417475728,6.93,6.8532
Gintama,8.62,manga,finished,2003-12-08,2019-06-20,86311,7992,TRUE,7.01005812861993,7.154861255502087,7.02829368334701,6.91140992167102
Neon Genesis Evangelion,8.56,manga,finished,1994-12-26,2013-06-04,96009,6822,TRUE,7.071362925264065,7.02722440944882,6.9769597263678005,6.9187323943662
Sayonara Eri,8.74,manga,finished,2022-04-11,2022-04-11,43545,2010,TRUE,7.11037890424987,6.93,7.02829368334701,7.02809523809524
Kami nomi zo Shiru Sekai,8.48,manga,finished,2008-04-09,2014-04-23,103861,9077,TRUE,7.012595534356185,7.1407801117401934,7.02829368334701,7.22040229885057
The Breaker,8.43,manhwa,finished,2007-06-01,2010-07-20,131111,6090,TRUE,7.043657666046287,7.0310068998984,6.93,7.27
Pluto,8.61,manga,finished,2003-09-09,2009-04-01,93977,4375,TRUE,7.239498651876495,7.02722440944882,6.92562576938859,7.25
Onanie Master Kurosawa,8.42,manga,finished,2007-09-01,2008-03-01,120463,9610,TRUE,7.11037890424987,7.0541430740530995,6.93,6.93
Dragon Ball,8.4,manga,finished,1984-11-20,1995-05-23,136967,12742,TRUE,7.037271250096232,7.03668532267276,7.02829368334701,6.91140992167102
Bakuman.,8.4,manga,finished,2008-08-11,2012-04-23,159895,10829,TRUE,7.033557379061904,7.482,7.02829368334701,6.91140992167102
Kaichou wa Maid-sama!,8.4,manga,finished,2005-12-24,2013-09-24,149649,8998,TRUE,6.99514661646792,6.99883732920856,7.01893118148599,7.19299145299145
JoJo no Kimyou na Bouken Part 8: JoJolion,8.45,manga,finished,2011-05-19,2021-08-19,118520,6240,TRUE,7.217191046618124,6.93,6.92562576938859,7.04384615384615
