cleaned_category,score
Award Winning,7.144
Mystery,7.065410628019324
Suspense,7.047801418439716
Drama,6.966405128205128
Supernatural,6.895423861852433
Romance,6.874179104477612
Sports,6.832214765100671
Adventure,6.790941747572815
Slice of Life,6.770612725844462
Action,6.770548799501092
Fantasy,6.709910423452769
Gourmet,6.703411764705883
Girls Love,6.693260869565218
Sci-Fi,6.671020822752666
Comedy,6.666217917675545
Boys Love,6.534748201438849
Ecchi,6.490542521994135
Erotica,6.379333333333333
Horror,6.251035422343325
Hentai,6.201310951239009
Other or NA,5.973478991596639
Avant Garde,5.227435897435897
