cleaned_category,score
Yoshimoto Kogyo,8.73
Annapuru,8.71
Miracle Robo,8.693333333333333
Wright Staff,8.645
Science SARU,8.62
Sumzap,8.6
voque ting,8.585
Mad Box,8.53
Rex Entertainment,8.53
Audio Highs,8.515
FBC,8.48
Movie Walker,8.45
Dear Stage inc.,8.434999999999999
Seikaisha,8.425
Reddog Culture House,8.39
Arquebuse,8.27
Aiming,8.26
Kadokawa Animation,8.24
Animatsu Entertainment,8.22
TEM Co.,8.19
Pia,8.07
Tokyo Animator Gakuin,8.07
Sharefun Studio,8.0375
Top-Insight International,8.03
8PAN,8.02625
C & I entertainment,7.99
Gainax,7.986666666666666
Deho Gallery,7.97
VV-ALKLINE,7.97
Fujio Production,7.96
NewGin,7.959999999999999
IRMA LA DOUCE,7.941666666666666
ILCA,7.93
Anime Friend,7.92
Blue Lynx,7.9125
Artland,7.91
CIC,7.91
FLAGSHIP LINE,7.87
SamBakZa,7.87
AKABEiSOFT2,7.86
Micro Magazine Publishing,7.8500000000000005
Trinity Sound,7.844
Shochiku Music Publishing,7.83
Happinet Phantom Studios,7.8149999999999995
USEN,7.785
HoriPro International,7.776666666666666
Carp Studio,7.77
Po10tial,7.77
Bandai Namco Filmworks,7.76
Palm Studio,7.76
Mainichi Shimbun,7.746666666666667
Lucky Paradise,7.74
Sogo Vision,7.735
STORY,7.703333333333333
Telescreen,7.69
Notes,7.6866666666666665
Sony Music Solutions,7.68
Tokuma Japan Communications,7.6725
Imagin,7.66
Möbius Tone,7.66
Nozomi Entertainment,7.66
Romantica club !!,7.66
Imagineer,7.645
Planet Cartoon,7.645
NHK-BS2,7.640000000000001
MTJJ,7.63
Techno Sound,7.620909090909091
Fenz,7.613333333333333
SKY Perfect Well Think,7.6115
Abe Shuuji Jimusho,7.61
Lawson Entertainment,7.608
Hakusensha,7.602222222222222
Midorimatsu,7.6
D.N. Dream Partners,7.588571428571429
Rikuentai,7.58
Studio Gram,7.58
Sunny Side Up,7.565
Ashisuto,7.56
TSUTAYA,7.56
GREE Entertainment,7.553333333333334
Sakura Create,7.550454545454546
Heart Company,7.547499999999999
Studio Kelmadick,7.545
Studio Deen,7.54
Dai Nippon Printing,7.533333333333333
Animation Do,7.524
Hikari TV,7.52
Plus One,7.52
Studio Mir,7.52
TO Books,7.5125
Melonbooks,7.51
RAB Aomori Broadcasting,7.51
BeDream,7.5
Sav! The World Productions,7.5
RCC Chugoku Broadcasting,7.496666666666667
MK Pictures,7.49
Myung Films,7.49
SANZIGEN,7.49
SoftX,7.49
Iwatobi High School Swimming Club,7.484999999999999
TAP,7.483333333333333
Yoshimoto Creative Agency,7.48
Trilogy Future Studio,7.4799999999999995
Rialto Entertainment,7.4783333333333335
I Will,7.478
ONEMUSIC,7.47
Hakuhodo DY Media Partners,7.469736842105263
Kodansha,7.469610894941634
Free-Will,7.46
Kiyosumi High School Mahjong Club,7.46
Miracle Bus,7.46
White Fox,7.46
Yomiuri Shimbun,7.456
Bandai Spirits,7.455
Dentsu,7.454233128834356
TOHO animation,7.447570093457944
Kyoraku Industrial Holdings,7.446153846153846
AHA Entertainment,7.445
Lawson HMV Entertainment,7.4425
12 Diary Holders,7.44
Studio Pastoral,7.44
Warner Bros. Pictures,7.44
Wicky.Records,7.44
Mainichi Broadcasting System,7.438963963963964
Straight Edge,7.43875
Code,7.4325
Shelty,7.4325
1IN,7.43
Chiptune,7.43
Kadokawa Contents Gate,7.42875
ADK Marketing Solutions,7.428571428571429
The Answer Studio,7.4275
Yahoo! Japan,7.421666666666667
Artist Management Office,7.42
Blade,7.42
Kinoshita Management,7.42
Voyager Entertainment,7.416666666666667
DiC Entertainment,7.415
Creek,7.405
Shueisha,7.403801652892562
JTB Next Creation,7.39
KMMJ Studios,7.39
Purple Cow Studio Japan,7.39
Tokyo Theatres,7.388333333333334
Alibaba Pictures,7.385
Houbunsha,7.3820930232558135
Creatures Inc.,7.38
Life Work,7.38
Aeon Entertainment,7.378
Wonder Cat Animation,7.375
Aniplex,7.374671968190855
Production I.G,7.372328767123288
Twin Engine,7.370555555555556
Delightworks,7.37
A-Line,7.3675
Toei Advertising,7.365833333333334
Kinyosha,7.36375
Fujipacific Music,7.362631578947369
Daiichi Shokai,7.35625
Directions,7.3549999999999995
BreakBottle,7.35
Parco,7.35
e-notion,7.35
Shochiku,7.347767857142857
TMS Music,7.3476923076923075
WOWMAX,7.345000000000001
Warner Bros. Japan,7.341684210526315
Dentsu Meitetsu Communications,7.34
Keisei Electric Railway,7.34
Kadokawa Pictures Japan,7.339032258064516
Bungeishunjuu,7.3374999999999995
Banpresto,7.333529411764705
Studio Kyuuma,7.333333333333333
YTV,7.32125
Jay Zone Comic,7.32
Myrica Music,7.32
Ruo Hong Culture,7.32
BookLive,7.3175
CA-Cygames Anime Fund,7.317142857142857
Alchemy Bros.,7.3149999999999995
Sola Entertainment,7.3149999999999995
Kansai Telecasting,7.3144
Jidaigeki Channel,7.31
Yumeta Company,7.31
Studio Easter,7.308
Nippon Television Network,7.305462962962963
Nishinippon Broadcasting,7.305
Visual Arts,7.303846153846154
Fujiko F. Fujio Pro,7.3025
ADK,7.3
Alice,7.3
Aoni Entertainment,7.3
Encourage Films,7.3
Jade Animation,7.3
Laulea Works,7.3
Oriental Creative Color,7.3
flaggs,7.3
JR East Marketing & Communications,7.296896551724138
Delfi Sound,7.294117647058823
ElectromagneticWave,7.29
T.O Entertainment,7.29
Animax,7.288214285714286
Energy Studio,7.285
Lawson,7.283913043478261
Culture Publishers,7.28
PPP,7.28
Marvelous AQL,7.275625
Gentosha Comics,7.275
Shodensha,7.2725
Graphinica,7.2675
Bergamo,7.265
Bee Media,7.263333333333334
NTT Docomo,7.261764705882353
KEN ON,7.26
ensky,7.26
Quaras,7.256666666666667
Asmik Ace,7.255522388059702
TMS Entertainment,7.251428571428572
Vega Entertainment,7.25
Yellow Film,7.25
studioGONG,7.25
Sony PCL,7.246875
Academy Productions,7.246666666666667
eStream,7.24
NTT Plala,7.239166666666667
Fujimi Shobo,7.237857142857143
Global Solutions,7.237777777777778
ASCII Media Works,7.234461538461538
Memory-Tech,7.234347826086957
TV Osaka,7.2323076923076925
AMG Entertainment,7.23
BloomZ,7.23
Sky Perfect Communications,7.23
J.C.Staff,7.228
Kinoshita Koumuten,7.226666666666667
ibis Capital Partners,7.225
Hakoniwa Academy Student Council,7.220000000000001
Hiroshima Television,7.2175
Asatsu DK,7.217368421052631
FILMONY,7.211666666666667
Studio Flag,7.21
Studio Hibari,7.207142857142857
Tencent Penguin Pictures,7.20609756097561
Shounen Gahousha,7.2057142857142855
Tokuma Shoten,7.2047058823529415
Polygram Japan,7.203333333333333
Kanetsu Investment,7.203125
Mag Garden,7.201764705882353
Comic Umenohone,7.2
ELF-IN,7.2
Music Brains,7.2
Show Corporation,7.2
Hiroshi Planning,7.195
WOWOW,7.1922
Yomiuri Telecasting,7.191756756756757
ImaginAsian Entertainment,7.19
Maikaze,7.1899999999999995
SME Visual Works,7.189090909090909
Cygames,7.188148148148148
Christmas Holly,7.184285714285714
Fuji TV,7.184038461538462
Kadokawa Media House,7.1820270270270266
Nippon Television Music,7.1814285714285715
Movic,7.180718562874252
Apollon,7.18
DandeLion Animation Studio,7.18
Production GoodBook,7.18
Trans Cosmos,7.18
VAP,7.18
Rakuonsha,7.17830985915493
Audio Tanaka,7.176153846153846
Mirai-Kojo,7.173333333333334
MusicRay’n,7.173333333333334
BS Asahi,7.172
PRA,7.17
Y&N Brothers,7.17
ABC Animation,7.168947368421053
Naver Webtoons,7.166666666666667
Pony Canyon Enterprise,7.163870967741936
Ultra Super Pictures,7.160869565217391
Drecom,7.16
Miyazaki Broadcasting,7.16
Tomoyasu Murata Company,7.16
syn Sophia,7.16
Hakuhodo DY Music & Pictures,7.159545454545454
Kadokawa,7.1586705202312135
TV Setouchi,7.156666666666666
Jumondo,7.155
TV Tokyo Music,7.153835616438356
DeNA,7.1505882352941175
Studio Izena,7.15
TV Saitama,7.15
OB Planning,7.147647058823529
Hololive Production,7.1466666666666665
chara-ani.com,7.1463636363636365
MediaLink Entertainment Limited,7.1425
Milestone Music Publishing,7.140000000000001
Tokai Television,7.140000000000001
Frencel,7.14
OLM,7.14
Nihon Ad Systems,7.138188976377953
KlockWorx,7.136721991701245
Egg Firm,7.1346428571428575
Bandai Namco Live Creative,7.134285714285714
Geneon Universal Entertainment,7.133761467889908
APDREAM,7.131428571428572
Studio Wombat,7.129999999999999
Sound Team Don Juan,7.127777777777777
Asahi Broadcasting,7.124468085106383
Q-Tec,7.123928571428571
King Records,7.123676470588236
Shogakukan,7.122597402597402
Sumitomo,7.121666666666667
Cyclone Graphics,7.1209999999999996
China Literature Limited,7.120689655172414
Public & Basic,7.12
Sakura Production,7.12
Kadokawa Shoten,7.1195767195767194
Studio Nue,7.118571428571428
Sony Music Communications,7.117090909090909
Enterbrain,7.117
flying DOG,7.116136363636364
Index,7.115555555555556
Infinite,7.1152173913043475
Good Smile Company,7.114186046511628
Front Wing,7.11
M.S.C,7.11
C-one,7.1080000000000005
A-Sketch,7.106923076923077
Beyond C.,7.1066666666666665
Square Enix,7.10504424778761
Kobunsha,7.105
BS11,7.104901960784313
Nitroplus,7.104285714285714
Hal Film Maker,7.103
Good Smile Film,7.1027272727272726
Yomiko Advertising,7.101774193548387
Trans Arts,7.101666666666667
TC Entertainment,7.1
Kids Station,7.09875
Magic Capsule,7.097777777777778
WAO World,7.0975
NHK Enterprises,7.094736842105263
TV Tokyo,7.09328125
Animatic,7.0925
Marubeni,7.0925
Ankama,7.09
Bridge,7.09
Image House,7.09
Raku High Student Council,7.09
Soyuzmultfilm,7.085
Meiji Seika,7.08
Plum,7.08
Showgate,7.075431034482759
Cromea,7.075
Bandai Namco Games,7.074827586206896
Shogakukan-Shueisha Productions,7.0725
CBC Television,7.070909090909091
Toyo Recording,7.07
Daume,7.0649999999999995
Wit Studio,7.0600000000000005
Bulls Eye,7.06
Saban Entertainment,7.06
Toho,7.056115702479339
Horgos Coloroom Pictures Co.,7.053333333333334
NAZ,7.053333333333334
Avex Pictures,7.050609756097561
Amino,7.05
SoftBank Creative,7.047692307692308
Studio Take Off,7.047499999999999
