cleaned_category,score
Studio Bind,8.36
Egg Firm,8.2975
China Literature Limited,8.24
Nippon Ramayana Film Co.,8.19
Colored Pencil Animation,8.1
AHA Entertainment,7.92
Frontier One,7.92
Samsara Animation Studio,7.89
Shochiku,7.86
Djinn Power,7.82
Motion Magic,7.736
Shuka,7.728235294117647
Nakamura Production,7.72
Code,7.68
Purple Cow Studio Japan,7.665
Animation Do,7.636
Hoods Drifters Studio,7.6075
Fuji TV,7.56
Wulifang Digital,7.53
HORNETS,7.525
Paper Plane Animation Studio,7.52
Original Force,7.5075
Wan Wei Mao Donghua,7.5075
Studio Daisy,7.5
Odolttogi,7.49
Twin Engine,7.49
Life Work,7.45
Tencent Animation & Comics,7.45
Geno Studio,7.445555555555556
Beijing Enlight Pictures,7.4
Marone,7.39
Wit Studio,7.381833333333334
Telescreen,7.366
Dai Nippon Printing,7.35
Enoki Films,7.35
TROYCA,7.33125
Square Enix,7.326666666666667
Imagineer,7.323333333333333
Bones,7.323286713286714
Animation 21,7.32
LICO,7.32
Red Dog Culture House,7.32
Karaku,7.31
Kyoto Animation,7.308373983739838
Studio Rikka,7.302222222222222
B.CMAY PICTURES,7.3
David Production,7.295384615384616
KSS,7.29
Sparkly Key Animation Studio,7.280967741935484
Oh! Production,7.2775
I.Gzwei,7.275714285714286
Manglobe,7.275555555555555
ufotable,7.275396825396825
Japan Taps,7.26
Lerche,7.255740740740741
Sunwoo Entertainment,7.25
Team TillDawn,7.25
Marvy Jack,7.2475
team Yamahitsuji,7.245
Platinum Vision,7.242
Seven Arcs,7.241666666666666
Studio Pastoral,7.24
White Fox,7.237727272727272
ChuChu,7.23
M.S.C,7.226153846153847
Think Corporation,7.22
Nut,7.212857142857143
OZ,7.21
PONOS Corporation,7.21
d00r works,7.21
Studio Kai,7.201428571428571
OLM Team Yoshioka,7.2
BeSTACK,7.195
monofilmo,7.1866666666666665
YHKT Entertainment,7.181666666666667
Science SARU,7.173333333333334
A-1 Pictures,7.158380952380952
Bandai Namco Pictures,7.150232558139535
Qualia Animation,7.15
Garden Culture,7.1499999999999995
8bit,7.14875
Nice Boat Animation,7.1433333333333335
October Media,7.140000000000001
MAPPA,7.13375
CloverWorks,7.130697674418605
Shaft,7.127862595419847
CygamesPictures,7.1274999999999995
Colored Pencil Animation Japan,7.125
Dongwoo A&E,7.12
Pancake,7.12
KJJ Animation,7.116666666666667
Studio Signpost,7.116666666666667
Kino Production,7.11
Tokyo Movie Shinsha,7.10225
ElectromagneticWave,7.1
Hal Film Maker,7.0959375
TYO Animations,7.095862068965517
CyberConnect2,7.095
Ankama Animations,7.09
TMS Entertainment,7.0868075117370894
Gakken,7.08
production doA,7.08
AIC ASTA,7.079583333333334
Mili Pictures,7.0616666666666665
AIC Build,7.06
Production I.G,7.056631578947369
CANDY BOX,7.05
Studio GOONEYS,7.05
Studio LAN,7.048333333333333
Telecom Animation Film,7.045555555555556
Ling San Wu Donghua,7.045
Shenying Animation,7.043333333333333
Asatsu DK,7.04
Flint Sugar,7.04
Collaboration Works,7.031538461538461
"""Brains Base""",7.025212765957447
Pastel,7.017777777777778
Ruo Hong Culture,7.013529411764706
SynergySP,7.011764705882353
Lapin Track,7.01
C-Station,7.008666666666667
P.A. Works,7.0052830188679245
Amuse,7
Ezόla,7
Enishiya,6.998
Studio Deen,6.997346153846154
The Answer Studio,6.99375
Studio Comet,6.992820512820513
Orange,6.991764705882353
Shanghai Foch Film and TV Culture Investment,6.987894736842105
Madhouse,6.983897280966767
Kitty Film Mitaka Studio,6.98375
Gosay Studio,6.98
Minami Machi Bugyousho,6.973333333333334
Sunrise,6.970816831683169
P.I.C.S.,6.964
Ishibashi Planning,6.96
Gallop,6.957826086956522
Satelight,6.955698924731183
Nippon Animation,6.953076923076923
Mook DLE,6.95
Studio VOLN,6.95
Japan Vistec,6.949999999999999
Khara,6.947058823529412
Larx Entertainment,6.94
Felix Film,6.93
KeyEast,6.93
REALTHING,6.93
ixtl,6.93
CG Year,6.924285714285714
Studio Gokumi,6.922142857142857
Dancing CG Studio,6.92
Dwango,6.92
SANZIGEN,6.92
SILVER LINK.,6.91933962264151
Artland,6.90953488372093
Ajia-Do,6.906666666666666
Silver,6.905
Yostar Pictures,6.905
studio MOTHER,6.903333333333333
Arvo Animation,6.901428571428571
Production +h.,6.9
Xebec,6.898333333333333
GoHands,6.890322580645162
BigFireBird Animation,6.8822222222222225
Fenz,6.88
Bee Train,6.879032258064516
Remic,6.876666666666667
Doga Kobo,6.87641975308642
Okuruto Noboru,6.876
Studio Ghibli,6.868235294117647
Ginga Ya,6.865
Actas,6.864565217391305
Nexus,6.8625
MoMo Production,6.86
L²Studio,6.855714285714286
Studio Chizu,6.855714285714286
Annapuru,6.855
J.C.Staff,6.851107871720116
helo.inc,6.85
Da Huoniao Donghua,6.84
Haoliners Animation League,6.84
Connect,6.839
Majin,6.839
Shin-Ei Animation,6.837596153846154
"""Ryuu Ms""",6.83
AIC Classic,6.83
Image Kei,6.83
MORIE Inc.,6.83
Trigger,6.8293333333333335
Digital Frontier,6.828333333333333
Flat Studio,6.823333333333333
GRIZZLY,6.82
Guton Animation Studio,6.82
Studio Gadget,6.82
Ordet,6.816111111111111
B&T,6.8149999999999995
Pierrot,6.812606837606838
GANSIS,6.8125
10Gauge,6.8100000000000005
Toei Animation,6.807227722772277
PrimeTime,6.807142857142857
Light Chaser Animation Studios,6.806
Pierrot Plus,6.8055
Tencent Penguin Pictures,6.804
Studio 3Hz,6.803888888888889
LIDENFILMS,6.80375
Anime Beans,6.8
Beijing Huihuang Animation Company,6.8
Future Planet,6.8
Lay-duce,6.79375
Kinema Citrus,6.7903773584905665
Studio CA,6.79
Diomedéa,6.7896
New Generation,6.788333333333333
Academy Productions,6.783333333333333
Maboroshi Koubou,6.781428571428571
Issen,6.78
Oz Inc.,6.78
Palm Studio,6.7749999999999995
DandeLion Animation Studio,6.774
Graphinica,6.771875
Quad,6.77
BYMENT,6.766666666666667
Hololive Production,6.76125
Daume,6.760689655172413
Gonzo,6.755407407407407
LIDENFILMS Kyoto Studio,6.754
Pine Jam,6.747
ASK Animation Studio,6.74
T-Rex,6.738360655737705
Tatsunoko Production,6.738118811881188
Space Neko Company,6.734999999999999
Space-X,6.734999999999999
Production IMS,6.734
Picograph,6.73
Tohokushinsha Film Corporation,6.73
Gainax,6.729866666666667
APPP,6.728421052631579
CoMix Wave Films,6.722
Beijing Rocen Digital,6.72
XEBEC M2,6.716666666666667
feel.,6.716231884057971
Studio Flad,6.715
CLAP,6.71
Meruhensha,6.71
Nishiki Studio,6.71
Panmedia,6.71
Thundray,6.71
Mimoid,6.706666666666667
Shirogumi,6.705555555555556
Studio Colorido,6.702727272727273
Sparky Animation,6.7
Big Wing,6.699999999999999
Sola Digital Arts,6.698
Office Take Off,6.6979999999999995
Bibury Animation Studios,6.69
Cafe de Jeilhouse,6.6899999999999995
TriF Studio,6.6875
Studio Moriken,6.686
Soyep,6.6850000000000005
asread.,6.681666666666667
GEEK TOYS,6.68
Kitty Films,6.68
Studio Palette,6.68
Amarcord,6.67
Studio Prokion,6.67
Yamato Works,6.67
Tryforce,6.666666666666667
A.C.G.T.,6.665357142857143
Rockwell Eyes,6.664999999999999
AIC Takarazuka,6.66
Planet,6.66
Triangle Staff,6.66
Rabbit Machine,6.654999999999999
Nomad,6.65
Studio M2,6.6499999999999995
Barnum Studio,6.648333333333333
Sunrise Beyond,6.648333333333333
Group TAC,6.645820895522388
Anpro,6.6433333333333335
AIC Spirits,6.6431249999999995
OLM,6.640576923076923
2:10 AM Animation,6.638
Studio Hibari,6.63225
Jumondo,6.63
Kaeruotoko Shokai,6.63
Office DCI,6.63
Sanrio,6.63
Studio Shelter,6.63
Tele-Cartoon Japan,6.63
Rabbit Gate,6.6290000000000004
Visual 80,6.628333333333334
Studio G-1Neo,6.6275
Revoroot,6.6274999999999995
