cleaned_category,score
Childcare,7.608717948717949
Romantic Subtext,7.603125
Iyashikei,7.56077380952381
Adult Cast,7.3941338582677165
Love Polygon,7.366521739130435
Organized Crime,7.317941176470589
Gag Humor,7.291771428571429
Otaku Culture,7.272131147540984
Reincarnation,7.254814814814815
Showbiz,7.225909090909091
Survival,7.205
High Stakes Game,7.184375
Performing Arts,7.158793103448276
Delinquents,7.156296296296296
Team Sports,7.099461077844311
CGDCT,7.098363636363636
Isekai,7.092105263157895
Time Travel,7.08990099009901
Medical,7.065357142857143
Visual Arts,7.062985074626866
Gore,7.051217391304347
Mahou Shoujo,7.047100591715976
Anthropomorphic,7.006483516483517
Workplace,6.975495495495496
Detective,6.9493269230769235
Psychological,6.913649851632048
Magical Sex Shift,6.9075
School,6.90549795361528
Military,6.891613545816733
Vampire,6.849924812030075
Historical,6.834172274562584
Combat Sports,6.83
Martial Arts,6.812564102564102
Super Power,6.810066371681416
Mythology,6.808761261261261
Harem,6.784683908045977
Samurai,6.784567901234568
Idols (Female),6.775229885057471
Space,6.71029490616622
Video Game,6.691941747572815
Mecha,6.661721105527638
Idols (Male),6.651111111111111
Reverse Harem,6.634736842105263
Crossdressing,6.613214285714285
Pets,6.6064150943396225
Parody,6.485416666666667
Racing,6.468229166666666
Educational,6.465185185185185
Strategy Game,6.406027397260274
Other or NA,6.289103594080339
Music,6.103989637305699
